dropout_rate,learning_rate,n_hidden,mean_cv_score
0.1,0.001,128,1.1018949702483456
0.1,0.001,64,1.1028419822251714
0.3,0.001,128,1.103086218947456
0.3,0.001,64,1.1044283075397516
0.1,0.0001,128,1.1044731407749409
0.1,0.01,16,1.1047270233128346
0.5,0.001,128,1.1049386639984287
0.1,0.01,64,1.1050295529722354
0.1,0.01,128,1.1058661885002035
0.5,0.001,64,1.1059015729800374
0.3,0.0001,128,1.106070447535742
0.1,0.0001,64,1.1061651025499615
0.3,0.001,16,1.1068339120774044
0.5,0.0001,128,1.1068900718169958
0.3,0.0001,64,1.107049941611128
0.1,0.001,16,1.1071294335280957
0.5,0.0001,64,1.1081573873961053
0.3,0.01,16,1.1083237078725077
0.1,0.0001,16,1.108983115274079
0.5,0.001,16,1.1093820994403087
0.3,0.01,64,1.1097054578820054
0.3,0.0001,16,1.1107453051067535
0.5,0.01,128,1.111286635301551
0.3,0.01,128,1.111409006881065
0.5,0.01,16,1.1117382596950143
0.5,0.01,64,1.1132504915704533
0.5,0.0001,16,1.1144318507642164
