year,gisjoin,state,county,persons_total,persons_male,persons_female,persons_hispanic,households_total,male_never_married,male_married,male_separated,male_widowed,male_divorced,female_never_married,female_married,female_separated,female_widowed,female_divorced,persons_native,persons_foreign_born,male_18_24_less_than_9th,male_18_24_some_hs,male_18_24_hs_grad,male_18_24_some_college,male_18_24_associates,male_18_24_bachelors,male_18_24_graduate,male_25_34_less_than_9th,male_25_34_some_hs,male_25_34_hs_grad,male_25_34_some_college,male_25_34_associates,male_25_34_bachelors,male_25_34_graduate,male_35_44_less_than_9th,male_35_44_some_hs,male_35_44_hs_grad,male_35_44_some_college,male_35_44_associates,male_35_44_bachelors,male_35_44_graduate,male_45_64_less_than_9th,male_45_64_some_hs,male_45_64_hs_grad,male_45_64_some_college,male_45_64_associates,male_45_64_bachelors,male_45_64_graduate,male_65plus_less_than_9th,male_65plus_some_hs,male_65plus_hs_grad,male_65plus_some_college,male_65plus_associates,male_65plus_bachelors,male_65plus_graduate,female_18_24_less_than_9th,female_18_24_some_hs,female_18_24_hs_grad,female_18_24_some_college,female_18_24_associates,female_18_24_bachelors,female_18_24_graduate,female_25_34_less_than_9th,female_25_34_some_hs,female_25_34_hs_grad,female_25_34_some_college,female_25_34_associates,female_25_34_bachelors,female_25_34_graduate,female_35_44_less_than_9th,female_35_44_some_hs,female_35_44_hs_grad,female_35_44_some_college,female_35_44_associates,female_35_44_bachelors,female_35_44_graduate,female_45_64_less_than_9th,female_45_64_some_hs,female_45_64_hs_grad,female_45_64_some_college,female_45_64_associates,female_45_64_bachelors,female_45_64_graduate,female_65plus_less_than_9th,female_65plus_some_hs,female_65plus_hs_grad,female_65plus_some_college,female_65plus_associates,female_65plus_bachelors,female_65plus_graduate,labor_force_total,labor_force_armed,labor_force_civilian,labor_force_employed,labor_force_unemployed,not_in_labor_force,households_income_under_10k,households_income_10k_15k,households_income_15k_25k,households_income_25k_plus,median_household_income,per_capita_income,persons_below_poverty,female_18_24_aian,female_18_24_asian,female_18_24_black,female_18_24_multi,female_18_24_nhpi,female_18_24_other,female_18_24_white,female_25_34_aian,female_25_34_asian,female_25_34_black,female_25_34_multi,female_25_34_nhpi,female_25_34_other,female_25_34_white,female_35_44_aian,female_35_44_asian,female_35_44_black,female_35_44_multi,female_35_44_nhpi,female_35_44_other,female_35_44_white,female_45_64_aian,female_45_64_asian,female_45_64_black,female_45_64_multi,female_45_64_nhpi,female_45_64_other,female_45_64_white,female_65plus_aian,female_65plus_asian,female_65plus_black,female_65plus_multi,female_65plus_nhpi,female_65plus_other,female_65plus_white,male_18_24_aian,male_18_24_asian,male_18_24_black,male_18_24_multi,male_18_24_nhpi,male_18_24_other,male_18_24_white,male_25_34_aian,male_25_34_asian,male_25_34_black,male_25_34_multi,male_25_34_nhpi,male_25_34_other,male_25_34_white,male_35_44_aian,male_35_44_asian,male_35_44_black,male_35_44_multi,male_35_44_nhpi,male_35_44_other,male_35_44_white,male_45_64_aian,male_45_64_asian,male_45_64_black,male_45_64_multi,male_45_64_nhpi,male_45_64_other,male_45_64_white,male_65plus_aian,male_65plus_asian,male_65plus_black,male_65plus_multi,male_65plus_nhpi,male_65plus_other,male_65plus_white,democrat,other,republican,land_area_sqkm
2012,G0100010,Alabama,Autauga County,55136,26774,28362,1391,20304,5539,12513,404,387,2435,5128,12159,683,2121,3187,54364,772,36,443,921,809,78,81,7,134,272,1091,878,157,470,257,142,231,1433,804,190,695,299,324,788,1961,1523,715,1033,729,231,358,1031,713,122,309,331,25,486,848,685,153,95,22,49,282,924,883,396,554,349,129,274,1386,1177,388,514,223,383,473,2404,1513,635,1195,655,208,734,1909,804,234,160,177,26951,556,26395,24143,2252,15561,1233,1235,1842,15994,52475,24644,7006,0,0,523,35,0,7,1749,0,36,745,65,0,69,2522,28,73,838,59,0,14,3079,19,14,1324,32,0,51,5818,105,124,456,34,0,0,3092,0,0,511,0,0,61,1803,0,0,733,33,0,24,2469,10,55,634,37,16,0,3042,27,74,1167,58,0,35,5712,0,0,313,31,0,2,2495,6363,190,17379,1565.3090737425596
2012,G0100030,Alabama,Baldwin County,191205,93229,97976,8630,73058,19803,44724,1232,2209,8411,16551,43687,1736,8981,11060,184394,6811,172,1666,2670,2139,203,694,0,757,1209,3064,2418,836,2215,416,611,879,4004,2599,905,2104,708,623,1938,8194,5479,1960,5008,2214,1003,873,4241,2995,788,3288,2486,66,1155,2099,2555,767,488,78,208,748,2274,2896,1347,2736,726,128,841,2665,2770,1905,2326,1871,473,1555,7570,7274,2871,5227,2933,1060,1709,6389,4026,1035,2540,1349,91667,281,91386,83530,7856,61162,4912,3653,8864,55629,50183,26851,25988,0,126,1119,116,0,134,5713,9,126,1211,131,0,153,9305,139,118,1174,239,0,84,10752,290,185,2398,313,0,129,24588,44,97,891,42,0,24,14742,44,179,1107,100,0,136,5978,13,65,1141,265,0,239,9192,104,21,1074,149,0,334,10128,132,67,2137,230,0,84,22766,100,32,665,87,0,0,13518,18424,898,66016,5250.61195149874
2012,G0100050,Alabama,Barbour County,27119,14562,12557,1283,9145,4583,5392,394,341,1722,2755,4542,345,1411,1481,26350,769,123,359,473,435,30,44,0,251,502,830,433,58,201,67,108,446,751,430,138,109,64,229,725,1350,818,260,228,247,361,231,506,280,42,263,118,9,97,391,381,53,26,0,70,227,417,377,247,117,53,33,167,313,332,210,184,130,125,380,1286,916,289,286,252,528,407,847,266,87,93,151,10764,0,10764,9237,1527,11086,1145,995,1452,5553,35634,17350,5832,0,0,554,24,0,13,366,0,8,791,0,0,165,544,0,15,669,19,0,6,660,0,19,1630,18,0,53,1814,0,28,727,5,0,4,1273,0,0,784,44,0,102,534,0,0,1301,17,0,128,896,11,29,861,106,0,13,1026,11,0,1611,71,0,85,2079,26,28,461,3,0,0,1155,5912,47,5550,2342.6835500672482
2012,G0100070,Alabama,Bibb County,22653,12220,10433,455,7078,3678,5030,329,340,1144,1698,4615,297,1167,1105,22354,299,68,268,428,364,4,1,0,162,336,555,517,66,203,30,134,242,659,304,202,128,72,282,372,1576,780,108,97,121,313,216,503,223,66,55,68,9,213,259,392,29,32,0,37,102,516,421,15,113,33,92,91,218,485,218,83,122,133,304,1427,476,241,208,193,260,390,829,159,47,29,51,8934,5,8929,7954,975,9553,533,448,1270,4827,37984,18110,3596,0,0,242,32,0,0,660,9,0,207,0,0,0,1021,10,0,158,0,0,0,1141,38,13,606,3,0,0,2322,0,0,163,12,0,0,1341,14,6,364,28,0,0,721,12,0,591,66,0,6,1194,5,0,408,55,0,0,1273,40,0,741,20,0,0,2535,0,0,241,19,0,0,1106,2202,86,6132,1621.7611120018971
2012,G0100090,Alabama,Blount County,57645,28574,29071,4880,20934,5495,13795,352,860,2640,3655,14224,530,2771,2805,55263,2382,39,558,866,816,89,78,0,209,458,1249,779,397,257,71,268,688,1222,979,329,215,67,516,1059,2859,1624,626,799,222,566,752,1458,627,122,330,231,45,503,764,854,67,19,18,215,385,896,935,416,253,216,193,475,1010,902,611,442,156,351,969,2804,1961,768,619,410,595,868,1973,900,249,259,242,24754,31,24723,22432,2291,20880,1724,1210,2544,15456,44409,20501,9866,0,0,42,56,0,46,2126,52,2,9,4,0,3,3246,15,6,18,53,0,55,3642,66,2,193,120,0,13,7488,16,24,38,31,0,8,4418,15,0,67,36,0,16,2312,19,0,52,50,0,60,3239,9,7,48,30,0,42,3632,29,1,144,131,0,149,7251,12,6,24,13,0,17,3760,2970,279,20757,1685.1194502538676
2012,G0100110,Alabama,Bullock County,10693,5799,4894,431,3746,2232,1628,309,170,649,1702,1350,348,694,341,10190,503,0,168,344,120,0,0,0,6,278,220,234,0,0,14,197,102,450,81,27,0,46,177,398,527,246,38,124,139,166,49,225,88,7,31,73,0,57,262,36,140,0,0,58,191,119,57,35,69,66,98,29,112,151,33,84,83,90,239,459,126,113,106,132,222,211,241,130,27,18,41,4654,0,4654,3845,809,3979,621,281,554,2290,34804,17706,2085,0,0,394,0,0,0,101,0,0,513,0,14,0,68,0,0,383,0,0,0,207,16,0,1028,0,0,0,221,0,0,509,9,0,0,259,0,0,547,0,0,0,85,2,0,516,9,34,0,191,3,0,490,56,0,0,354,26,6,880,37,0,0,700,0,0,315,0,0,0,232,4061,10,1251,1619.114250907578
2012,G0100130,Alabama,Butler County,20523,9590,10933,233,8253,2406,3828,252,350,859,2624,3781,294,1323,1297,20362,161,20,187,320,254,2,29,0,63,208,379,293,49,51,51,132,197,380,149,65,62,94,149,347,1112,456,197,222,123,236,270,483,163,68,128,95,0,156,220,381,75,3,0,33,154,528,285,114,160,96,41,183,405,168,183,173,105,95,361,1182,672,332,220,180,361,458,745,253,81,146,105,8845,22,8823,7748,1075,7421,1088,848,1503,4814,31571,18115,5239,0,0,477,0,0,0,358,0,4,740,7,0,0,619,0,19,609,6,0,0,624,6,0,1292,4,0,0,1740,3,0,572,9,0,18,1266,0,0,446,0,0,0,366,9,5,506,7,0,0,567,0,47,416,7,0,0,609,7,43,903,23,0,0,1630,0,0,343,47,0,17,918,4374,35,5087,2014.7038718804688
2012,G0100150,Alabama,Calhoun County,117186,56478,60708,4017,45348,13380,24099,1163,1486,6214,12404,24310,1611,6030,7352,114413,2773,156,1071,1803,2791,95,103,18,381,877,2496,1894,431,829,261,332,968,2296,1723,688,720,269,952,1757,5200,3660,1083,1598,1008,826,1050,2190,1625,287,796,694,107,594,1891,2821,330,402,0,312,955,1940,2091,769,1196,281,401,886,1633,2090,927,993,490,778,1832,5909,3652,1366,1704,1219,1261,2106,3831,1667,246,598,643,53813,246,53567,46310,7257,39877,5215,3400,6107,30626,40919,21306,24794,2,49,1888,100,0,50,4056,3,54,1873,175,0,97,5342,27,86,1599,81,0,168,5459,54,220,3250,88,7,0,12841,24,30,1212,55,0,10,7777,0,42,1740,126,10,143,3976,5,39,1492,139,0,143,5351,10,99,1236,100,0,43,5508,19,69,2732,142,0,65,12231,63,15,787,48,0,18,5974,15511,468,30278,1585.7824632240695
2012,G0100170,Alabama,Chambers County,34091,16271,17820,158,13901,4368,6402,374,509,1905,3849,6845,591,2013,2145,33745,346,18,254,720,324,78,62,0,68,259,732,303,214,225,44,140,402,849,351,78,154,94,324,869,1642,969,271,379,206,379,420,766,385,114,264,146,27,96,623,488,133,49,0,0,217,630,673,228,204,49,46,218,662,681,202,245,106,137,710,2108,1051,502,265,273,429,749,1496,524,112,119,138,15134,8,15126,13210,1916,12471,1783,1430,2155,8533,32835,21240,8051,0,16,721,0,0,0,679,0,33,911,0,0,10,1047,0,27,959,8,8,0,1158,0,19,1969,18,0,0,3040,19,1,874,45,0,0,2062,0,0,683,0,0,7,766,0,23,824,10,0,0,988,0,38,793,0,0,8,1229,24,7,1763,32,0,0,2834,0,4,543,35,0,0,1689,6871,114,7626,1562.057365782645
2012,G0100190,Alabama,Cherokee County,26042,12960,13082,375,11726,1764,7308,213,431,1214,1337,7047,417,1261,1367,25741,301,23,151,404,374,19,24,0,37,179,578,308,55,70,4,53,115,622,463,92,249,25,370,399,1575,1000,259,347,176,406,207,896,276,159,149,163,73,163,280,286,90,54,0,23,165,289,445,154,119,104,12,188,328,523,234,104,143,279,409,1338,1062,249,334,324,353,661,1121,290,51,142,130,11554,0,11554,10440,1114,9755,1261,1129,1925,7411,34983,22234,5370,16,0,31,0,0,0,899,18,29,63,5,0,0,1184,3,0,40,9,0,0,1480,12,14,265,56,0,4,3644,6,15,86,13,0,19,2338,0,0,70,8,0,0,917,0,18,69,0,3,0,1141,0,0,106,2,0,0,1511,39,0,201,78,0,13,3795,0,14,30,16,0,0,2053,2132,141,7506,1553.9317952428587
