fips,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,area_sqmi,pop_density,year,dem,repub,other
5007,258980,128399,130581,42577,128941.0,100.0,125343.0,3498.0,64141.0,32624.0,25356.0,229609.0,29371.0,94333,3427.0,3658.0,7793.0,79455.0,49428,118103,23202,10260,22685,110253,56754,10938,7389,4358,54809,34354,21090,30039,18238,8477,227609,112043,115566,4359,2402,1957,27012,13954,13058,883.902,292.996282393297,2016,28005,60871,7948
19045,47218,23126,24092,1443,23715.0,10.0,22653.0,1052.0,50156.0,27942.0,5680.0,46392.0,826.0,19689,1076.0,1055.0,2347.0,15211.0,10434,19435,5494,2954,3439,26544,6461,1309,1024,1106,10171,9818,6555,2698,2422,1341,44275,21726,22549,1262,709,553,1681,691,990,710.172,66.48811837132413,2016,10095,11276,1696
49009,612,359,253,20,260.0,0.0,257.0,3.0,81250.0,27698.0,23.0,595.0,17.0,145,6.0,4.0,10.0,125.0,135,296,60,14,28,405,52,12,16,0,152,176,77,14,15,23,585,333,252,1,0,1,26,26,0,720.624,0.8492639712249384,2016,77,331,66
26031,25709,13072,12637,419,11243.0,58.0,10380.0,805.0,59557.0,32679.0,3029.0,25181.0,528.0,10650,468.0,483.0,994.0,8705.0,5398,12133,3329,1622,2319,14728,4617,901,787,631,4684,5413,4631,1151,1490,1976,23474,11858,11616,205,183,22,2030,1031,999,885.394,29.036790400657782,2020,5437,10186,245
48449,31301,15601,15700,14077,13924.0,0.0,13364.0,560.0,57634.0,25058.0,5674.0,25191.0,6110.0,10802,686.0,485.0,1079.0,8552.0,7332,12663,2682,1272,4936,14180,3184,1921,1918,1097,7209,4384,2587,1357,986,841,19000,9281,9719,3005,1532,1473,9296,4788,4508,425.641,73.53849840593364,2020,2856,7570,115
13221,14784,7396,7388,647,7037.0,22.0,6684.0,331.0,44927.0,23027.0,2216.0,14520.0,264.0,5621,423.0,382.0,728.0,4088.0,2847,6383,1817,1137,2524,7221,1867,1165,647,712,2852,2861,1508,776,641,450,11610,5802,5808,2623,1226,1397,551,368,183,442.036,33.44523975422816,2016,1831,4625,218
29037,108205,53087,55118,5264,57088.0,64.0,54445.0,2579.0,82473.0,38766.0,7440.0,106819.0,1386.0,41524,893.0,1082.0,2525.0,37024.0,22027,48378,11136,5711,5202,56014,21346,2065,1624,1513,24070,18945,12999,9077,8207,4062,94004,46126,47878,4765,2491,2274,9436,4470,4966,702.389,154.05281119151925,2020,19052,37197,1159
40053,4579,2283,2296,146,2326.0,3.0,2175.0,148.0,42043.0,22204.0,471.0,4522.0,57.0,1885,127.0,127.0,256.0,1375.0,827,2280,361,307,411,2445,685,169,94,148,884,875,686,206,341,138,4328,2146,2182,0,0,0,251,137,114,1000.871,4.575015161794077,2008,514,1836,0
51678,7346,4285,3061,373,2892.0,13.0,2808.0,71.0,93651.0,29117.0,696.0,7008.0,338.0,1991,130.0,124.0,137.0,1600.0,4469,1743,466,284,213,4435,2172,104,28,81,3393,504,538,1174,542,456,6136,3583,2553,380,205,175,830,497,333,2.525,2909.3069306930693,2020,1791,906,67
36111,181598,90391,91207,16841,95498.0,153.0,85667.0,9678.0,58592.0,30868.0,21385.0,168187.0,13411.0,69388,3972.0,3642.0,7175.0,54599.0,51232,71851,19638,10748,16133,90087,40475,6084,5375,4674,39881,33356,16850,15547,17219,7709,158254,77629,80625,10381,6000,4381,12963,6762,6201,1160.755,156.44817381790298,2012,43837,25572,8906
47063,61857,30195,31662,6104,29845.0,17.0,26771.0,3057.0,39807.0,21162.0,10761.0,57288.0,4569.0,24451,2334.0,1959.0,3561.0,16597.0,10776,27670,7444,3860,10351,30163,6686,3717,3156,3478,14788,10479,4896,2791,2790,1105,56889,27595,29294,2448,1122,1326,2520,1478,1042,161.179,383.77828377145903,2008,6807,15508,354
26091,98474,49815,48659,7784,46810.0,71.0,44374.0,2365.0,53972.0,26958.0,11411.0,96387.0,2087.0,38222,1816.0,1536.0,4197.0,30673.0,24789,40410,11111,5013,7486,55191,14669,3185,2025,2276,23072,19844,12275,5926,5787,2956,91413,45447,45966,2640,2043,597,4421,2325,2096,761.405,129.33195868164773,2016,16750,26430,2759
8057,1389,750,639,257,796.0,0.0,786.0,10.0,45606.0,25818.0,203.0,1288.0,101.0,644,60.0,39.0,67.0,478.0,173,708,178,77,171,751,185,98,35,38,219,358,174,44,68,73,1283,696,587,1,1,0,105,53,52,1620.96,0.8568996150429375,2012,216,600,32
48401,54159,28785,25374,8299,23344.0,5.0,21927.0,1412.0,46924.0,22084.0,8345.0,50485.0,3674.0,17794,1176.0,1171.0,2531.0,12916.0,12038,21207,7217,3383,8047,28749,5046,4018,2469,1560,13299,10236,5214,1965,1981,1100,42962,22433,20529,9646,5519,4127,1551,833,718,938.402,57.714071368134334,2012,4451,13924,171
17189,14841,7399,7442,162,8124.0,0.0,7709.0,415.0,51440.0,24846.0,1343.0,14772.0,69.0,6057,288.0,342.0,685.0,4742.0,2991,7239,1060,904,1579,8033,1906,294,409,876,3484,3128,1421,998,698,210,14528,7245,7283,106,56,50,207,98,109,562.572,26.38062328022013,2008,3342,4473,117
30003,12663,6456,6207,491,5928.0,0.0,4904.0,1024.0,36550.0,15066.0,2896.0,12578.0,85.0,3584,495.0,276.0,445.0,2368.0,3384,3890,1237,668,1526,5982,942,828,367,331,3023,2191,768,224,515,203,4123,2181,1942,0,0,0,8540,4275,4265,4995.462,2.5349006758534043,2008,3516,1628,75
19073,9232,4482,4750,227,4718.0,8.0,4386.0,324.0,47255.0,27140.0,1211.0,9099.0,133.0,3849,241.0,315.0,357.0,2936.0,1435,4511,894,658,729,5230,1157,309,199,221,1897,1872,1461,274,638,245,9052,4398,4654,4,4,0,176,80,96,571.212,16.16212544554386,2012,2375,2380,91
