name,role,type,demographic,description,units,missing_values,new_col_name
class,Target,Categorical,,,,no,Y
Alcohol,Feature,Continuous,,,,no,X1
Malicacid,Feature,Continuous,,,,no,X2
Ash,Feature,Continuous,,,,no,X3
Alcalinity_of_ash,Feature,Continuous,,,,no,X4
Magnesium,Feature,Integer,,,,no,X5
Total_phenols,Feature,Continuous,,,,no,X6
Flavanoids,Feature,Continuous,,,,no,X7
Nonflavanoid_phenols,Feature,Continuous,,,,no,X8
Proanthocyanins,Feature,Continuous,,,,no,X9
Color_intensity,Feature,Continuous,,,,no,X10
Hue,Feature,Continuous,,,,no,X11
0D280_0D315_of_diluted_wines,Feature,Continuous,,,,no,X12
Proline,Feature,Integer,,,,no,X13
