X1,X2,X3,X4,X5,X6,X7,X8,Y
,291.84,0.0,0.0,1,Clear,sky is clear,2017-07-04 03:00:00,440
,297.22,0.0,0.0,1,Clear,sky is clear,2017-09-22 03:00:00,370
,268.79,0.0,0.0,90,Mist,mist,2018-04-15 06:00:00,490
,269.94,0.0,0.0,90,Snow,light snow,2018-04-15 10:00:00,1494
,273.8,0.0,0.0,90,Clouds,overcast clouds,2013-04-13 13:00:00,5226
,270.27,0.0,0.0,40,Clouds,scattered clouds,2013-03-12 21:00:00,3356
,260.75,0.0,0.0,1,Clear,sky is clear,2016-12-14 00:00:00,587
,286.09,0.25,0.0,48,Rain,light rain,2013-07-28 12:00:00,4253
,294.29,0.0,0.0,1,Clear,sky is clear,2017-07-27 23:00:00,1755
,297.19,0.0,0.0,76,Rain,light rain,2014-07-11 00:00:00,839
,272.35,0.0,0.0,90,Rain,light rain,2017-01-17 04:00:00,821
,281.11400000000003,0.0,0.0,0,Clear,Sky is Clear,2016-10-08 12:00:00,4876
,265.88,0.0,0.0,1,Clear,sky is clear,2016-02-03 18:00:00,4316
,258.15,0.0,0.0,1,Haze,haze,2016-12-14 14:00:00,5058
,265.03,0.0,0.0,1,Clear,sky is clear,2017-03-02 06:00:00,5939
,275.22,0.0,0.0,1,Clear,sky is clear,2018-02-14 19:00:00,3268
,295.04,0.0,0.0,1,Mist,mist,2015-07-04 23:00:00,3493
,303.44,0.0,0.0,1,Clear,sky is clear,2016-07-22 11:00:00,4157
,276.6,0.0,0.0,64,Clouds,broken clouds,2013-11-10 15:00:00,4200
,278.47,0.0,0.0,90,Clouds,overcast clouds,2012-10-30 12:00:00,5125
,280.66,0.25,0.0,90,Rain,light rain,2016-05-13 13:00:00,5368
,278.95,0.0,0.0,20,Clouds,few clouds,2014-04-23 02:00:00,248
,282.62,0.0,0.0,90,Rain,moderate rain,2016-03-30 00:00:00,586
,271.87,0.0,0.0,90,Snow,light snow,2015-12-01 22:00:00,1525
,268.22,0.0,0.0,90,Clouds,overcast clouds,2016-01-29 08:00:00,5591
,289.22,0.0,0.0,44,Clouds,scattered clouds,2014-07-14 09:00:00,5077
,295.55,0.0,0.0,90,Rain,proximity shower rain,2017-08-21 15:00:00,5352
,271.1,0.0,0.0,20,Clouds,few clouds,2012-12-14 07:00:00,6507
,291.94,0.0,0.0,1,Clear,sky is clear,2018-07-22 03:00:00,344
,250.24,0.0,0.0,70,Clouds,broken clouds,2013-02-01 19:00:00,2945
,271.57,0.0,0.0,1,Clear,sky is clear,2014-01-29 20:00:00,2700
,279.62,0.0,0.0,1,Clear,sky is clear,2015-10-01 00:00:00,544
,295.7,1.56,0.0,90,Rain,moderate rain,2015-08-16 19:00:00,3034
,276.15,0.0,0.0,40,Clouds,scattered clouds,2017-10-30 02:00:00,293
,279.23,0.0,0.0,90,Rain,light rain,2016-03-26 19:00:00,3348
,266.58,0.0,0.0,90,Mist,mist,2016-01-20 15:00:00,5661
,248.73,0.0,0.0,75,Clouds,broken clouds,2013-12-07 06:00:00,1193
,288.27,0.0,0.0,40,Clouds,scattered clouds,2017-03-06 15:00:00,5727
,286.75,0.0,0.0,75,Drizzle,light intensity drizzle,2018-09-27 04:00:00,919
,272.22,0.0,0.0,90,Fog,fog,2018-01-31 03:00:00,376
,292.96,0.0,0.0,1,Clear,sky is clear,2015-08-01 08:00:00,2361
,273.58,0.0,0.0,90,Mist,mist,2013-04-12 20:00:00,3085
,298.29,0.0,0.0,1,Clear,sky is clear,2017-07-03 13:00:00,4364
,272.62,0.0,0.0,90,Snow,light snow,2016-04-08 08:00:00,5939
,263.59,0.0,0.0,1,Clear,sky is clear,2017-03-10 13:00:00,5763
,297.51,0.0,0.0,1,Clear,sky is clear,2013-08-16 18:00:00,4995
,283.29,0.0,0.0,20,Clouds,few clouds,2014-04-08 18:00:00,4637
,274.06,0.0,0.0,90,Mist,mist,2012-12-01 11:00:00,4618
,289.64,0.0,0.0,20,Fog,fog,2017-09-19 09:00:00,5819
,281.43,0.0,0.0,75,Mist,mist,2017-10-06 08:00:00,5817
,292.96,0.0,0.0,90,Mist,mist,2015-09-24 16:00:00,6454
,291.8,0.25,0.0,0,Rain,light rain,2016-08-18 07:00:00,5906
,251.63,0.0,0.0,1,Clear,sky is clear,2013-12-06 04:00:00,770
,275.14,0.0,0.0,1,Clear,sky is clear,2013-10-26 07:00:00,2555
,257.21,0.0,0.0,90,Clouds,overcast clouds,2013-01-20 22:00:00,2215
,259.08,0.0,0.0,5,Clear,sky is clear,2018-01-29 11:00:00,4409
,288.86,0.0,0.0,90,Mist,mist,2018-09-19 04:00:00,913
,273.51,0.0,0.0,90,Rain,light rain,2016-12-25 04:00:00,113
,299.51,0.0,0.0,0,Clear,Sky is Clear,2013-08-28 22:00:00,1893
,302.95,0.0,0.0,20,Clouds,few clouds,2017-09-14 15:00:00,5975
,255.48,0.0,0.0,75,Clouds,broken clouds,2014-02-15 04:00:00,349
,266.19,0.0,0.0,40,Clouds,scattered clouds,2014-03-15 06:00:00,1231
,266.07,0.0,0.0,1,Clear,sky is clear,2018-04-02 05:00:00,2683
,274.65,0.0,0.0,1,Clear,sky is clear,2016-12-28 14:00:00,5148
,276.55,0.0,0.0,75,Clouds,broken clouds,2017-11-29 12:00:00,4982
,275.15,0.0,0.0,40,Clouds,scattered clouds,2013-04-18 06:00:00,5729
,274.15,0.0,0.0,90,Mist,mist,2016-11-23 08:00:00,4219
,295.42,0.0,0.0,90,Rain,proximity shower rain,2018-07-13 09:00:00,4543
,264.55,0.0,0.0,90,Snow,snow,2016-12-11 07:00:00,811
,294.2,0.0,0.0,64,Clouds,broken clouds,2016-06-15 14:00:00,5346
,276.793,0.0,0.0,64,Clouds,broken clouds,2014-01-17 02:00:00,306
,263.94,0.0,0.0,90,Mist,mist,2018-01-14 21:00:00,2264
,295.58,0.0,0.0,75,Clouds,broken clouds,2018-06-08 18:00:00,4959
,271.56,0.0,0.0,64,Mist,mist,2014-01-10 23:00:00,1536
,292.38,1.85,0.0,68,Drizzle,light intensity drizzle,2014-06-01 05:00:00,709
,293.15,0.0,0.0,40,Clouds,scattered clouds,2018-06-24 00:00:00,1515
,289.08,0.0,0.0,1,Mist,mist,2017-08-07 00:00:00,632
,265.77,0.0,0.0,64,Clouds,broken clouds,2013-11-11 19:00:00,2679
,295.89,0.0,0.0,75,Rain,heavy intensity rain,2017-07-12 03:00:00,358
,290.271,0.0,0.0,76,Clouds,broken clouds,2016-10-16 17:00:00,4355
,296.4,0.0,0.0,1,Clear,sky is clear,2017-06-29 18:00:00,4676
,276.65,0.0,0.0,40,Clouds,scattered clouds,2018-03-27 14:00:00,5374
,272.9,0.0,0.0,90,Snow,heavy snow,2013-04-12 22:00:00,2774
,270.01,0.0,0.0,90,Fog,fog,2018-04-14 13:00:00,1987
,257.72,0.0,0.0,90,Snow,light snow,2018-01-15 19:00:00,2611
,281.96,0.0,0.0,90,Clouds,overcast clouds,2014-04-26 12:00:00,3787
,291.54,2.16,0.0,76,Rain,moderate rain,2014-06-12 01:00:00,423
,297.888,0.0,0.0,0,Clear,Sky is Clear,2016-07-20 03:00:00,337
,282.35,0.0,0.0,1,Clear,sky is clear,2017-04-06 12:00:00,5071
,269.21,0.0,0.0,75,Haze,haze,2017-11-12 08:00:00,2133
,302.06,0.0,0.0,1,Rain,light rain,2014-08-03 16:00:00,4427
,284.223,0.0,0.0,20,Rain,light rain,2016-10-18 04:00:00,1000
,273.28,0.0,0.0,1,Clear,sky is clear,2017-03-17 04:00:00,764
,297.75,0.0,0.0,75,Clouds,broken clouds,2017-08-11 16:00:00,5941
,276.56,0.0,0.0,1,Clear,sky is clear,2017-03-29 01:00:00,390
,282.51,0.0,0.0,90,Clouds,overcast clouds,2017-10-05 05:00:00,3040
,291.88,0.0,0.0,1,Clear,sky is clear,2016-09-11 23:00:00,954
,273.32,0.0,0.0,1,Clear,sky is clear,2013-03-27 21:00:00,2741
,260.72,0.0,0.0,90,Snow,light snow,2016-12-12 02:00:00,380
,274.68,0.0,0.0,90,Clouds,overcast clouds,2018-02-28 23:00:00,1102
,278.72,0.0,0.0,1,Clear,sky is clear,2017-11-21 00:00:00,560
,287.23,0.0,0.0,90,Rain,light rain,2013-05-10 08:00:00,5932
,292.44,0.0,0.0,75,Thunderstorm,thunderstorm,2015-09-09 19:00:00,3497
,267.58,0.0,0.0,90,Snow,light snow,2016-01-15 04:00:00,829
,291.69,0.0,0.0,75,Clouds,broken clouds,2017-08-12 22:00:00,3854
,280.22,0.0,0.0,90,Clouds,overcast clouds,2017-12-03 18:00:00,4035
,291.02,0.0,0.0,90,Fog,fog,2018-05-31 07:00:00,6420
,291.48,0.0,0.0,90,Rain,light rain,2015-09-24 20:00:00,3032
,292.82,0.0,0.0,75,Haze,haze,2017-09-30 16:00:00,4975
,260.82,0.0,0.0,90,Clouds,overcast clouds,2016-02-10 21:00:00,2374
,290.48,0.0,0.0,1,Clear,sky is clear,2018-05-05 01:00:00,691
,267.79,0.0,0.0,90,Clouds,overcast clouds,2013-11-22 00:00:00,643
,294.96,0.0,0.0,1,Clear,sky is clear,2015-09-21 20:00:00,2915
